r,t,y,NewCapacity
REGION,AOBACKSTOP,2070,0.0
REGION,AOBIOFUELX,2070,0.0
REGION,AOBM00I00X,2070,999999999.0
REGION,AOBM00X00X,2015,659.629782788895
REGION,AOBM00X00X,2016,1458.33594486961
REGION,AOBM00X00X,2018,8.29149649439933
REGION,AOBM00X00X,2019,67.9138849289825
REGION,AOBM00X00X,2021,697.106767941898
REGION,AOBM00X00X,2033,2686.73424374865
REGION,AOBM00X00X,2062,573.918088165775
REGION,AOBM00X00X,2067,4455.69878076727
REGION,AOBM00X00X,2070,999994969.383131
REGION,AOBMCHC01N,2070,0.0
REGION,AOBMCHC02N,2070,0.0
REGION,AOBMCHC03N,2070,0.0
REGION,AOBMCHC04N,2070,0.0
REGION,AOBMCHP01N,2070,0.0
REGION,AOBMCHP01O,2070,0.0
REGION,AOBMCHP02N,2070,0.0
REGION,AOBMCHP02O,2070,0.0
REGION,AOBMCHP03N,2070,0.0
REGION,AOBMCHP03O,2070,0.0
REGION,AOBMCHP04N,2017,0.045
REGION,AOBMCHP04N,2070,0.0
REGION,AOBMCHP04O,2070,0.0
REGION,AOCH00I00X,2070,999999999.0
REGION,AOCO00I00X,2043,17.8963406813961
REGION,AOCO00I00X,2044,27.3707357588196
REGION,AOCO00I00X,2045,24.3759628561823
REGION,AOCO00I00X,2046,28.7646830366818
REGION,AOCO00I00X,2047,51.5440005887881
REGION,AOCO00I00X,2048,72.2948744342253
REGION,AOCO00I00X,2049,63.2209982538062
REGION,AOCO00I00X,2050,72.6759284057372
REGION,AOCO00I00X,2051,49.7275387418246
REGION,AOCO00I00X,2052,52.1054046308495
REGION,AOCO00I00X,2053,50.906478314931
REGION,AOCO00I00X,2054,55.0211806470702
REGION,AOCO00I00X,2055,35.0888952296938
REGION,AOCO00I00X,2056,52.0585576491649
REGION,AOCO00I00X,2057,77.1505663735577
REGION,AOCO00I00X,2058,31.8897390891231
REGION,AOCO00I00X,2059,76.6811728057771
REGION,AOCO00I00X,2060,83.5873952618061
REGION,AOCO00I00X,2061,64.6729061529248
REGION,AOCO00I00X,2062,34.4392990222783
REGION,AOCO00I00X,2063,11.21439613752
REGION,AOCO00I00X,2064,25.4078099906356
REGION,AOCO00I00X,2065,14.9867648010966
REGION,AOCO00I00X,2066,23.6358355352197
REGION,AOCO00I00X,2067,37.687683444988
REGION,AOCO00I00X,2068,38.7683898028392
REGION,AOCO00I00X,2069,44.0895870999775
REGION,AOCO00I00X,2070,999998781.736875
REGION,AOCO00P00X,2015,999999999.0
REGION,AOCO00P00X,2016,999999999.0
REGION,AOCO00P00X,2017,999999999.0
REGION,AOCO00P00X,2018,999999999.0
REGION,AOCO00P00X,2019,999999999.0
REGION,AOCO00P00X,2020,999999999.0
REGION,AOCO00P00X,2021,999999999.0
REGION,AOCO00P00X,2022,999999999.0
REGION,AOCO00P00X,2023,999999999.0
REGION,AOCO00P00X,2024,999999999.0
REGION,AOCO00P00X,2025,999999999.0
REGION,AOCO00P00X,2026,999999999.0
REGION,AOCO00P00X,2027,999999999.0
