r,t,y,TotalCapacityAnnual
REGION,AOBACKSTOP,2070,0.0
REGION,AOBIOFUELX,2070,0.0
REGION,AOBM00I00X,2070,999999999.0
REGION,AOBM00X00X,2015,659.629782788895
REGION,AOBM00X00X,2016,2117.9657276585
REGION,AOBM00X00X,2017,2117.9657276585
REGION,AOBM00X00X,2018,2126.2572241529
REGION,AOBM00X00X,2019,2194.17110908188
REGION,AOBM00X00X,2020,2194.17110908188
REGION,AOBM00X00X,2021,2891.27787702378
REGION,AOBM00X00X,2022,2891.27787702378
REGION,AOBM00X00X,2023,2891.27787702378
REGION,AOBM00X00X,2024,2891.27787702378
REGION,AOBM00X00X,2025,2891.27787702378
REGION,AOBM00X00X,2026,2891.27787702378
REGION,AOBM00X00X,2027,2891.27787702378
REGION,AOBM00X00X,2028,2891.27787702378
REGION,AOBM00X00X,2029,2891.27787702378
REGION,AOBM00X00X,2030,2891.27787702378
REGION,AOBM00X00X,2031,2891.27787702378
REGION,AOBM00X00X,2032,2891.27787702378
REGION,AOBM00X00X,2033,5578.01212077243
REGION,AOBM00X00X,2034,5578.01212077243
REGION,AOBM00X00X,2035,5578.01212077243
REGION,AOBM00X00X,2036,5578.01212077243
REGION,AOBM00X00X,2037,5578.01212077243
REGION,AOBM00X00X,2038,5578.01212077243
REGION,AOBM00X00X,2039,5578.01212077243
REGION,AOBM00X00X,2040,5578.01212077243
REGION,AOBM00X00X,2041,5578.01212077243
REGION,AOBM00X00X,2042,5578.01212077243
REGION,AOBM00X00X,2043,5578.01212077243
REGION,AOBM00X00X,2044,5578.01212077243
REGION,AOBM00X00X,2045,5578.01212077243
REGION,AOBM00X00X,2046,5578.01212077243
REGION,AOBM00X00X,2047,5578.01212077243
REGION,AOBM00X00X,2048,5578.01212077243
REGION,AOBM00X00X,2049,5578.01212077243
REGION,AOBM00X00X,2050,4918.38233798354
REGION,AOBM00X00X,2051,3460.04639311393
REGION,AOBM00X00X,2052,3460.04639311393
REGION,AOBM00X00X,2053,3451.75489661953
REGION,AOBM00X00X,2054,3383.84101169055
REGION,AOBM00X00X,2055,3383.84101169055
REGION,AOBM00X00X,2056,2686.73424374865
REGION,AOBM00X00X,2057,2686.73424374865
REGION,AOBM00X00X,2058,2686.73424374865
REGION,AOBM00X00X,2059,2686.73424374865
REGION,AOBM00X00X,2060,2686.73424374865
REGION,AOBM00X00X,2061,2686.73424374865
REGION,AOBM00X00X,2062,3260.65233191443
REGION,AOBM00X00X,2063,3260.65233191443
REGION,AOBM00X00X,2064,3260.65233191443
REGION,AOBM00X00X,2065,3260.65233191443
REGION,AOBM00X00X,2066,3260.65233191443
REGION,AOBM00X00X,2067,7716.3511126817
REGION,AOBM00X00X,2068,5029.61686893305
REGION,AOBM00X00X,2069,5029.61686893305
REGION,AOBM00X00X,2070,999999999.0
REGION,AOBMCHC01N,2070,0.0
REGION,AOBMCHC02N,2070,0.0
REGION,AOBMCHC03N,2070,0.0
REGION,AOBMCHC04N,2070,0.0
REGION,AOBMCHP01N,2070,0.0
REGION,AOBMCHP01O,2070,0.0
