r,t,f,y,UseByTechnologyAnnual
REGION,AOBIOFUELX,AOETHA,2070.0,0.0
REGION,AOBIOFUELX,AOLFOI,2070.0,0.0
REGION,AOBIOFUELX,AOWAT1,2070.0,0.0
REGION,AOBMCHC01N,AOBIOM,2070.0,0.0
REGION,AOBMCHC01N,AOWAT1,2070.0,0.0
REGION,AOBMCHC02N,AOBIOM,2070.0,0.0
REGION,AOBMCHC02N,AOWAT1,2070.0,0.0
REGION,AOBMCHC03N,AOBIOM,2070.0,0.0
REGION,AOBMCHC03N,AOWAT1,2070.0,0.0
REGION,AOBMCHC04N,AOBIOM,2070.0,0.0
REGION,AOBMCHC04N,AOWAT1,2070.0,0.0
REGION,AOBMCHP01N,AOBIOM,2070.0,0.0
REGION,AOBMCHP01N,AOWAT1,2070.0,0.0
REGION,AOBMCHP01O,AOBIOM,2070.0,0.0
REGION,AOBMCHP01O,AOWAT1,2070.0,0.0
REGION,AOBMCHP02N,AOBIOM,2070.0,0.0
REGION,AOBMCHP02N,AOWAT1,2070.0,0.0
REGION,AOBMCHP02O,AOBIOM,2070.0,0.0
REGION,AOBMCHP02O,AOWAT1,2070.0,0.0
REGION,AOBMCHP03N,AOBIOM,2070.0,0.0
REGION,AOBMCHP03N,AOWAT1,2070.0,0.0
REGION,AOBMCHP03O,AOBIOM,2070.0,0.0
REGION,AOBMCHP03O,AOWAT1,2070.0,0.0
REGION,AOBMCHP04N,AOBIOM,2019.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2020.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2021.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2022.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2023.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2024.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2025.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2026.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2027.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2028.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2029.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2030.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2031.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2032.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2033.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2034.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2035.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2036.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2037.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2038.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2039.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2040.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2041.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2042.0,1.0961
REGION,AOBMCHP04N,AOBIOM,2043.0,1.0961
