,Year,Scenario,Country,value
0,2010,Baseline,Uganda,46704259963.43631
1,2040,Scenario 1,Uganda,1444589045.489842
2,2020,Baseline,UK,1829345094.7998881
3,2050,Consumer Transformation,UK,6449653217.503857
4,2050,System Transformation,UK,5759854756.793812
5,2050,Leading the Way,UK,104277592519.8422
6,2050,Steady Progression,UK,466534468.46726656
7,0,Baseline,Kenya,13832490113.71073
0,2015,1.5deg,AO,46704259963.43631
1,2015,1.5deg,BF,1444589045.489842
2,2015,1.5deg,BI,1829345094.7998881
3,2015,1.5deg,BJ,6449653217.503857
4,2015,1.5deg,BW,5759854756.793812
5,2015,1.5deg,CD,104277592519.8422
6,2015,1.5deg,CF,466534468.46726656
7,2015,1.5deg,CG,13832490113.71073
8,2015,1.5deg,CI,39421865969.23322
9,2015,1.5deg,CM,49765855873.50003
10,2015,1.5deg,DJ,41580196.322927445
11,2015,1.5deg,DZ,720432964430.54
12,2015,1.5deg,EG,1507912812393.1663
13,2015,1.5deg,ER,77582561.43180364
14,2015,1.5deg,ET,121780020271.42722
15,2015,1.5deg,GA,24103754586.21769
16,2015,1.5deg,GH,144483247399.47675
17,2015,1.5deg,GM,201831518.0567759
18,2015,1.5deg,GN,5192978162.191403
19,2015,1.5deg,GQ,14873426194.309456
20,2015,1.5deg,GW,13183964.687757483
21,2015,1.5deg,KE,62262250142.80199
22,2015,1.5deg,LR,184446938.477059
23,2015,1.5deg,LS,3290870065.0013485
24,2015,1.5deg,LY,338220161990.13354
25,2015,1.5deg,MA,199143770369.0522
26,2015,1.5deg,ML,9305967665.98618
27,2015,1.5deg,MR,5256543819.647602
28,2015,1.5deg,MW,16391021883.029472
29,2015,1.5deg,MZ,102709099114.45274
30,2015,1.5deg,NE,529030676.69114006
31,2015,1.5deg,NG,300109475293.2136
32,2015,1.5deg,NM,18681897307.855507
33,2015,1.5deg,RW,4560253040.575701
34,2015,1.5deg,SD,73406255919.34628
35,2015,1.5deg,SL,181879418.86460382
36,2015,1.5deg,SN,5486548192.636493
37,2015,1.5deg,SO,402611305.8181074
38,2015,1.5deg,SS,100400961.85292237
39,2015,1.5deg,SZ,2797068479.9173856
40,2015,1.5deg,TD,52228783.18611618
41,2015,1.5deg,TG,3047907080.3063755
42,2015,1.5deg,TN,134335954199.64252
43,2015,1.5deg,TZ,35064353424.04181
44,2015,1.5deg,UG,31792170769.13787
45,2015,1.5deg,ZA,543037212237.72723
46,2015,1.5deg,ZM,99738391967.35513
47,2015,1.5deg,ZW,42213591804.35099
48,2015,2.0deg,AO,46704259963.43631
49,2015,2.0deg,BF,1399459320.2125182
50,2015,2.0deg,BI,1829345094.7998881
51,2015,2.0deg,BJ,6449653217.503857
52,2015,2.0deg,BW,5759854756.793812
53,2015,2.0deg,CD,104277592519.8422
54,2015,2.0deg,CF,466534468.46726656
55,2015,2.0deg,CG,13832490113.71073
56,2015,2.0deg,CI,39458882485.47193
57,2015,2.0deg,CM,49765855873.50003
58,2015,2.0deg,DJ,41580196.322927445
59,2015,2.0deg,DZ,723557897780.6768
60,2015,2.0deg,EG,1507955406740.619
61,2015,2.0deg,ER,77582561.43180364
62,2015,2.0deg,ET,121780020271.42722
63,2015,2.0deg,GA,16612905338.305525
64,2015,2.0deg,GH,144483247399.47675
65,2015,2.0deg,GM,201831518.0567759
66,2015,2.0deg,GN,5192978162.191403
