,Country,Year,Scenario,tech,Aluminium,Bentonite,Carbon Fiber,Cast Iron,Cement,Ceramics,Concrete,Copper,Epoxy,EVA ,Fibre Glass,Glass,Lubricant,Non-Ferrous Metal,Paint,Plastic,PVC,Resin,Sand,Silicon,Steel,Stainless Steel
0,Uganda,2010,Baseline,Wind (Onshore),1518255.9292225048,0.0,3597195.9404415935,11901208.648186997,0.0,0.0,10850837.339423943,1990454.2275254126,5083435.501025159,0.0,9376856.18882997,0.0,34252068.87588769,0.0,142187.63513645387,585114.9162870788,0.0,1963758.934416309,0.0,0.0,67282342.16725221,0.0
1,Uganda,2010,Baseline,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Uganda,2010,Baseline,Solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Uganda,2010,Baseline,Hydro,0.0,0.0,0.0,175276511.93942994,167326707.1895369,0.0,310369351.7613887,64642847.305193424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831257622.7287948,0.0,84648041.83067206,0.0,405091852.01173186,0.0
4,Uganda,2010,Baseline,Geothermal,128827898.52926914,419523.579148606,0.0,694399.6094245927,12023361.57610361,0.0,3986730.8988878713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80063649.15208,0.0
5,Uganda,2010,Baseline,Gas CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Uganda,2010,Baseline,Oil,885152.6445372803,0.0,0.0,277393.15876509843,0.0,0.0,3962892.909888832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22043045.774081413,0.0
7,Uganda,2010,Baseline,Gas,1399880.3115977,0.0,0.0,132285771.63442078,0.0,0.0,5062964.902342881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111489084.84217034,0.0
8,Uganda,2010,Baseline,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Uganda,2010,Baseline,Wind (Offshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Uganda,2010,Baseline,Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Uganda,2010,Baseline,Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Uganda,2010,Baseline,BECCS,,,,,,,0.0,,,,,,,,,,,,,,0.0,
13,Uganda,2010,Baseline,Hydrogen,,,,,,,,,,,,,,,,,,,,,,
0,Uganda,2040,Scenario 1,Wind (Onshore),11973647.15715904,0.0,20967334.571580153,132313645.9554806,0.0,0.0,120717856.64629935,22328618.395600114,47651150.44837545,0.0,69693945.91716398,0.0,236410740.40526497,0.0,834173.5924161266,5131701.067422452,0.0,11745556.324756952,0.0,0.0,857879927.183123,0.0
1,Uganda,2040,Scenario 1,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Uganda,2040,Scenario 1,Solar PV,35624574428.06872,0.0,0.0,0.0,0.0,0.0,0.0,216074777.55879882,0.0,0.0,0.0,29407291.27298343,0.0,0.0,0.0,162918729.436791,0.0,0.0,0.0,2119722130.8654766,91770509355.28052,0.0
3,Uganda,2040,Scenario 1,Hydro,0.0,0.0,0.0,5639910547.914968,5743586971.807581,0.0,6733958585.530166,2897121551.003176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38831551471.61031,0.0,597379941.4686621,0.0,15813659800.397602,0.0
4,Uganda,2040,Scenario 1,Geothermal,22899518327.789677,35904501.022652,0.0,90492583.03480737,1671471084.7196014,0.0,350318890.9608761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12658122300.698627,0.0
5,Uganda,2040,Scenario 1,Gas CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Uganda,2040,Scenario 1,Oil,6447350.545757903,0.0,0.0,1672603.2724370034,0.0,0.0,17729493.507885564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150316611.41942543,0.0
7,Uganda,2040,Scenario 1,Gas,179035761.6233198,0.0,0.0,53291894478.25455,0.0,0.0,238925071.5561246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66425641865.36929,0.0
8,Uganda,2040,Scenario 1,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Uganda,2040,Scenario 1,Wind (Offshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Uganda,2040,Scenario 1,Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Uganda,2040,Scenario 1,Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Uganda,2040,Scenario 1,BECCS,,,,,,,0.0,,,,,,,,,,,,,,0.0,
13,Uganda,2040,Scenario 1,Hydrogen,,,,,,,,,,,,,,,,,,,,,,
0,UK,2020,Baseline,Wind (Onshore),4199599412.9268594,0.0,6830548089.469749,48275073916.17986,0.0,0.0,44046607099.989334,8152236013.993578,17111806827.740772,0.0,24188625499.939816,0.0,80796819449.19464,0.0,272362729.57461333,1828128626.869678,0.0,3859964452.488764,0.0,0.0,315870641403.2848,0.0
1,UK,2020,Baseline,Solar CSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
