,tech,tech_specific,Year,Capex_declinefactor,Opex_declinefactor
0,Biogas,Biogas,2015,0.007560696350992657,0.007161163710406981
1,Biogas,Biogas,2016,0.03455344118992798,0.03379293991019949
2,Biogas,Biogas,2017,0.05997542013938073,0.058913225919241086
3,Biogas,Biogas,2018,0.08388711877341848,0.08257931107073091
4,Biogas,Biogas,2019,0.10634902268066071,0.1048484846833162
5,Biogas,Biogas,2020,0.127421617435175,0.1257780360901961
6,Biogas,Biogas,2021,0.14716538855282124,0.1454252545518102
7,Biogas,Biogas,2022,0.1656408216949785,0.16384742938680574
8,Biogas,Biogas,2023,0.1829084023484029,0.18110184991382994
9,Biogas,Biogas,2024,0.1990286161599215,0.19724580546608195
10,Biogas,Biogas,2025,0.21406194863084238,0.2123365853476571
11,Biogas,Biogas,2026,0.22806888534978498,0.2264314788626507
12,Biogas,Biogas,2027,0.2411099119199207,0.23958777528605424
13,Biogas,Biogas,2028,0.2532455138862133,0.2518627639947226
14,Biogas,Biogas,2029,0.264536176880938,0.26331373424909543
15,Biogas,Biogas,2030,0.27504238634719513,0.2739979753678199
16,Biogas,Biogas,2031,0.2848246279900195,0.28397277668409515
17,Biogas,Biogas,2032,0.29394338726706337,0.29329542753112037
18,Biogas,Biogas,2033,0.3024591498542577,0.3020232171547832
19,Biogas,Biogas,2034,0.3104324012529105,0.3102134349028347
20,Biogas,Biogas,2035,0.31792362706619315,0.3179233700793702
21,Biogas,Biogas,2036,0.3249933128390694,0.32521031198848505
22,Biogas,Biogas,2037,0.33170194416015875,0.33213154996337835
23,Biogas,Biogas,2038,0.3381100066326326,0.3387443732790416
24,Biogas,Biogas,2039,0.3442779857577989,0.3451060712977778
25,Biogas,Biogas,2040,0.35026636718248483,0.3512739332654746
26,Biogas,Biogas,2041,0.35613563637889456,0.35730524857353885
27,Biogas,Biogas,2042,0.36194627902295906,0.36325730645330623
28,Biogas,Biogas,2043,0.36775878063053824,0.36918739625252783
29,Biogas,Biogas,2044,0.3736336267902516,0.3751528072898509
30,Biogas,Biogas,2045,0.37963130307616666,0.38121082886937074
31,Biogas,Biogas,2046,0.3858122950186953,0.3874187502951827
32,Biogas,Biogas,2047,0.39223708827921655,0.393833860885934
33,Biogas,Biogas,2048,0.3989661683153827,0.40051344996027183
34,Biogas,Biogas,2049,0.40606002078857273,0.4075148068222916
35,Biogas,Biogas,2050,0.4135791312000947,0.4148952207324328
36,Biogas,Biogas,2051,0.4115308151093439,0.4129353233830846
37,Biogas,Biogas,2052,0.4115308151093439,0.4129353233830846
38,Biogas,Biogas,2053,0.4115308151093439,0.4129353233830846
39,Biogas,Biogas,2054,0.4115308151093439,0.4129353233830846
40,Biogas,Biogas,2055,0.4115308151093439,0.4129353233830846
41,Biogas,Biogas,2056,0.4115308151093439,0.4129353233830846
42,Biogas,Biogas,2057,0.4115308151093439,0.4129353233830846
43,Biogas,Biogas,2058,0.4115308151093439,0.4129353233830846
44,Biogas,Biogas,2059,0.4115308151093439,0.4129353233830846
45,Biogas,Biogas,2060,0.4115308151093439,0.4129353233830846
46,Biogas,Biogas,2061,0.4115308151093439,0.4129353233830846
47,Biogas,Biogas,2062,0.4115308151093439,0.4129353233830846
48,Biogas,Biogas,2063,0.4115308151093439,0.4129353233830846
49,Biogas,Biogas,2064,0.4115308151093439,0.4129353233830846
50,Biogas,Biogas,2065,0.4115308151093439,0.4129353233830846
51,Biomass,Biomass,2015,0.007575757466838695,0.007575757466838695
52,Biomass,Biomass,2016,0.03461624639749061,0.03461624639749061
53,Biomass,Biomass,2017,0.06008250561717432,0.06008250561717432
54,Biomass,Biomass,2018,0.08403514121891931,0.08403514121891931
55,Biomass,Biomass,2019,0.1065347592375474,0.1065347592375474
56,Biomass,Biomass,2020,0.12764196578064002,0.12764196578064002
57,Biomass,Biomass,2021,0.14741736682481132,0.14741736682481132
58,Biomass,Biomass,2022,0.16592156852129847,0.16592156852129847
59,Biomass,Biomass,2023,0.18321517690492328,0.18321517690492328
60,Biomass,Biomass,2024,0.19935879796685185,0.19935879796685185
61,Biomass,Biomass,2025,0.21441303785832133,0.21441303785832133
62,Biomass,Biomass,2026,0.22843850261415355,0.22843850261415355
63,Biomass,Biomass,2027,0.24149579828372225,0.24149579828372225
64,Biomass,Biomass,2028,0.25364553088729735,0.25364553088729735
65,Biomass,Biomass,2029,0.2649483065470122,0.2649483065470122
66,Biomass,Biomass,2030,0.27546473129768856,0.27546473129768856
67,Biomass,Biomass,2031,0.28525541118870024,0.28525541118870024
68,Biomass,Biomass,2032,0.2943809523130767,0.2943809523130767
69,Biomass,Biomass,2033,0.3029019607201917,0.3029019607201917
70,Biomass,Biomass,2034,0.3108790424448671,0.3108790424448671
71,Biomass,Biomass,2035,0.31837280363834,0.31837280363834
72,Biomass,Biomass,2036,0.3254438502190169,0.3254438502190169
73,Biomass,Biomass,2037,0.332152788338135,0.332152788338135
