tech,Construction and Installation,Decommissioning,Fuel,Manufacturing,Operation and Maintenance
BECCS,0.0,0.0,0.0,0.0,0.0
Biogas,14.0,0.32,29.9,2.9,2.25
Biomass,14.0,0.32,29.9,2.9,1.5
Coal,11.2,1.65,39.7,5.4,0.14
Gas,1.3,0.21,15.1,0.93,0.14
Gas CCS,0.0,0.0,0.0,0.0,0.0
Geothermal,6.8,0.21,0.0,3.9,0.4
Hydro,12.95,3.885,0.0,6.125,0.35
Hydrogen,2.6,0.21,0.0,1.86,0.28
Nuclear,11.8,0.95,0.001,1.3,0.6
Oil,0.0,0.0,0.0,0.0,0.0
Solar CSP,8.0,1.33,0.0,4.0,0.6
Solar PV,19.5,1.005,0.0,6.7,1.0499999999999998
Storage,11.83,1.6400000000000001,0.0,13.6,0.4025
Waste-to-energy,14.0,0.32,29.9,2.9,2.25
Wind (Offshore),8.0,2.99,0.0,15.6,0.2
Wind (Onshore),3.2,0.72,0.0,4.7,0.3
