Year,Scenario,Country,Material,Value
2010,Baseline,Uganda,Aluminium,1303457899.8495016
2010,Baseline,Uganda,Bentonite,758109643.6734695
2010,Baseline,Uganda,Carbon Fiber,170478.96281800393
2010,Baseline,Uganda,Cast Iron,634081674.5578232
2010,Baseline,Uganda,Cement,1665649075.3714287
2010,Baseline,Uganda,Ceramics,22312.138812785386
2010,Baseline,Uganda,Concrete,3403862859.735261
2010,Baseline,Uganda,Copper,25576566.680730596
2010,Baseline,Uganda,Epoxy,1410493.9660795822
2010,Baseline,Uganda,EVA ,0.0
2010,Baseline,Uganda,Fibre Glass,4570314.611872146
2010,Baseline,Uganda,Glass,0.0
2010,Baseline,Uganda,Lubricant,42447762.74121704
2010,Baseline,Uganda,Non-Ferrous Metal,0.0
2010,Baseline,Uganda,Paint,57288.323548597524
2010,Baseline,Uganda,Plastic,6397350.130463145
2010,Baseline,Uganda,PVC,0.0
2010,Baseline,Uganda,Resin,549136.301369863
2010,Baseline,Uganda,Sand,1672510693.8775508
2010,Baseline,Uganda,Silicon,0.0
2010,Baseline,Uganda,Steel,6664108828.754451
2010,Baseline,Uganda,Stainless Steel,0.0
2040,Scenario 1,Uganda,Aluminium,6074908753.098499
2040,Scenario 1,Uganda,Bentonite,3537404685.714286
2040,Scenario 1,Uganda,Carbon Fiber,716095.8904109589
2040,Scenario 1,Uganda,Cast Iron,25750004467.38422
2040,Scenario 1,Uganda,Cement,9106698266.666666
2040,Scenario 1,Uganda,Ceramics,421749.0410958904
2040,Scenario 1,Uganda,Concrete,40107372351.455185
2040,Scenario 1,Uganda,Copper,754903355.1872146
2040,Scenario 1,Uganda,Epoxy,5924771.689497716
2040,Scenario 1,Uganda,EVA ,0.0
2040,Scenario 1,Uganda,Fibre Glass,19197579.9086758
2040,Scenario 1,Uganda,Glass,0.0
2040,Scenario 1,Uganda,Lubricant,176063408.74103066
2040,Scenario 1,Uganda,Non-Ferrous Metal,0.0
2040,Scenario 1,Uganda,Paint,240639.2694063927
2040,Scenario 1,Uganda,Plastic,115116780.8219178
2040,Scenario 1,Uganda,PVC,5678154020.000001
2040,Scenario 1,Uganda,Resin,2306643.8356164386
2040,Scenario 1,Uganda,Sand,12122182957.142857
2040,Scenario 1,Uganda,Silicon,0.0
2040,Scenario 1,Uganda,Steel,60547420296.93412
2040,Scenario 1,Uganda,Stainless Steel,0.0
2020,Baseline,UK,Aluminium,649499605.408643
2020,Baseline,UK,Bentonite,0.0
2020,Baseline,UK,Carbon Fiber,191714169.81676614
2020,Baseline,UK,Cast Iron,266386959983.92215
